"Time","AI agent"
"2024-12-01",0
"2025-01-01",0
"2025-02-01",0
"2025-03-01",0
"2025-04-01",1
"2025-05-01",8
"2025-06-01",12
"2025-07-01",16
"2025-08-01",29
"2025-09-01",32
"2025-10-01",39
"2025-11-01",35
"2025-12-01",41
"2026-01-01",64
"2026-02-01",100
"2026-03-01",92
