Recorded at;2026-04-21 16:04:18;Recorded with;Captury Live 1.0.270g 2025-09-19 00:30:16 +0200 5e1a97f0c;Exported with;Captury Live 1.0.270g 2025-09-19 00:30:16 +0200 5e1a97f0c;Scale;1
Frames;274;Frame Rate;59.9988

Frame;Sub Frame;Timestamp;Annotations;Hips;;;Spine;;;Spine1;;;Spine2;;;Spine3;;;LeftRib3;;;RightRib3;;;RightRib4;;;Spine4;;;LeftRib2;;;RightRib2;;;LeftRib4;;;LeftRib1;;;RightRib1;;;Neck;;;Head;;;HeadEE;;;LeftShoulder;;;LeftArm;;;LeftArmTwist;;;LeftForeArm;;;LeftForeArmTwist;;;LeftHand;;;LeftHandThumb1;;;LeftHandThumb2;;;LeftHandThumb3;;;LeftHandThumbEE;;;LeftHandIndex1;;;LeftHandIndex2;;;LeftHandIndex3;;;LeftHandIndexEE;;;LeftHandMiddle1;;;LeftHandMiddle2;;;LeftHandMiddle3;;;LeftHandMiddleEE;;;LeftHandRing1;;;LeftHandRing2;;;LeftHandRing3;;;LeftHandRingEE;;;LeftHandPinky1;;;LeftHandPinky2;;;LeftHandPinky3;;;LeftHandPinkyEE;;;LeftHandEE;;;RightShoulder;;;RightArm;;;RightArmTwist;;;RightForeArm;;;RightForeArmTwist;;;RightHand;;;RightHandThumb1;;;RightHandThumb2;;;RightHandThumb3;;;RightHandThumbEE;;;RightHandIndex1;;;RightHandIndex2;;;RightHandIndex3;;;RightHandIndexEE;;;RightHandMiddle1;;;RightHandMiddle2;;;RightHandMiddle3;;;RightHandMiddleEE;;;RightHandRing1;;;RightHandRing2;;;RightHandRing3;;;RightHandRingEE;;;RightHandPinky1;;;RightHandPinky2;;;RightHandPinky3;;;RightHandPinkyEE;;;RightHandEE;;;LeftPelvis;;;LeftUpLeg;;;LeftInnerUpLeg;;;LeftUpLegTwist;;;LeftLeg;;;LeftFoot;;;LeftToeBase;;;LeftFootEE;;;RightPelvis;;;RightUpLeg;;;RightInnerUpLeg;;;RightUpLegTwist;;;RightLeg;;;RightFoot;;;RightToeBase;;;RightFootEE;;;Nose;;;LeftEye;;;RightEye;;;LeftEar;;;RightEar;;;LeftHeelOuter;;;LeftHeelInner;;;RightHeelOuter;;;RightHeelInner;;;LeftToeBaseOuter;;;LeftToeBaseInner;;;RightToeBaseOuter;;;RightToeBaseInner;;;LeftFootEEOuter;;;LeftFootEEInner;;;RightFootEEOuter;;;RightFootEEInner;;;
;;;;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
;;;;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;
0;0;1776780258383333;;-2163.884766; 889.459717; 41.268143;-2163.884766; 893.327454; 41.268143;-2163.884766; 893.327454;-559.941467;-2163.884766; 893.327454;-559.941467;-2163.884766; 893.327454;-559.941467;-2163.884766; 893.327454;-559.941467;-2199.972412; 958.126099;-568.449524;-2199.972412; 958.126099;-568.449524;-2199.972412; 958.126099;-568.449524;-2177.640137; 1073.425415;-556.282227;-2177.640137; 1073.425415;-556.282227;-2177.640137; 1073.425415;-556.282227;-2190.929688; 1159.336670;-557.965454;-2190.929688; 1159.336670;-557.965454;-2190.929688; 1159.336670;-557.965454;-2201.535889; 1262.430908;-559.666382;-2201.535889; 1262.430908;-559.666382;-2201.535889; 1262.430908;-559.666382;-2072.241943; 1162.888428;-645.962280;-2149.754395; 1161.294678;-414.192139;-2153.238037; 1264.694946;-414.646179;-2195.690430; 1415.882568;-556.656250;-2195.690430; 1415.882568;-556.656250;-2195.690430; 1415.882568;-556.656250;-2139.640381; 1075.416992;-671.187012;-2216.929443; 1071.290161;-439.373474;-2075.725586; 1266.288574;-646.416321;-2162.512207; 961.797302;-683.494812;-2238.849609; 954.535156;-451.443146;-2150.567139; 1491.352905;-541.248657;-2150.567139; 1491.352905;-541.248657;-2150.567139; 1491.352905;-541.248657;-2134.809082; 1580.884155;-529.801331;-2134.809082; 1580.884155;-529.801331;-2134.809082; 1580.884155;-529.801331;-2148.175293; 1763.343506;-518.362610;-2114.518311; 1451.546143;-575.650818;-2114.518311; 1451.546143;-575.650818;-2095.764893; 1423.494873;-674.800964;-2095.764893; 1423.494873;-674.800964;-2095.764893; 1423.494873;-674.800964;-2109.191895; 1268.114014;-751.604187;-2119.869385; 1144.549438;-812.680908;-2119.869385; 1144.549438;-812.680908;-2119.869385; 1144.549438;-812.680908;-2112.552246; 1014.768555;-839.995239;-2105.130615; 883.133667;-867.699768;-2105.130615; 883.133667;-867.699768;-2084.524170; 858.166382;-859.363525;-2084.524170; 858.166382;-859.363525;-2084.524170; 858.166382;-859.363525;-2085.103027; 813.687744;-852.599182;-2099.078857; 781.911377;-858.507385;-2117.922363; 752.317627;-861.524414;-2085.817627; 792.289490;-906.937561;-2085.817627; 792.289490;-906.937561;-2091.860840; 747.609253;-902.826294;-2100.991455; 724.587402;-885.574524;-2107.299072; 731.860046;-867.905029;-2104.527588; 793.171875;-914.884705;-2104.527588; 793.171875;-914.884705;-2110.460449; 746.350830;-911.955078;-2123.279053; 729.227722;-883.982727;-2128.410156; 740.493652;-868.119568;-2123.191162; 803.833984;-917.652039;-2123.191162; 803.833984;-917.652039;-2143.600830; 763.425232;-918.217224;-2159.467529; 739.454041;-897.880127;-2160.492676; 744.411011;-878.405396;-2141.867432; 811.828918;-921.832031;-2141.867432; 811.828918;-921.832031;-2157.502197; 775.377502;-915.020325;-2165.825439; 760.862915;-903.842773;-2172.267578; 755.955261;-885.422668;-2105.472412; 810.942505;-905.935303;-2142.422852; 1450.972412;-492.213593;-2142.422852; 1450.972412;-492.213593;-2195.103516; 1418.444824;-407.738708;-2195.103516; 1418.444824;-407.738708;-2195.103516; 1418.444824;-407.738708;-2227.432129; 1250.616211;-375.947845;-2253.140869; 1117.152710;-350.666565;-2253.140869; 1117.152710;-350.666565;-2253.140869; 1117.152710;-350.666565;-2221.215332; 988.315796;-345.716217;-2188.833984; 857.638428;-340.695190;-2188.833984; 857.638428;-340.695190;-2159.821777; 841.320312;-343.776733;-2159.821777; 841.320312;-343.776733;-2159.821777; 841.320312;-343.776733;-2155.737061; 798.544067;-357.116455;-2139.552246; 767.274292;-357.585571;-2114.841064; 744.257935;-367.564331;-2157.212158; 765.567078;-314.461945;-2157.212158; 765.567078;-314.461945;-2135.457031; 727.178589;-324.599976;-2128.400146; 713.705566;-350.670593;-2135.176758; 724.834839;-366.003662;-2176.764893; 760.007874;-315.347107;-2176.764893; 760.007874;-315.347107;-2165.455322; 715.358521;-326.048676;-2161.228271; 705.597839;-359.616974;-2164.364746; 721.476929;-371.571198;-2197.513428; 765.101196;-318.984070;
1;0;1776780258400000;;-2163.437988; 889.459717; 41.268143;-2163.437988; 893.310547; 41.268143;-2163.437988; 893.310547;-559.917847;-2163.437988; 893.310547;-559.917847;-2163.437988; 893.310547;-559.917847;-2163.437988; 893.310547;-559.917847;-2199.693359; 958.019104;-568.397522;-2199.693359; 958.019104;-568.397522;-2199.693359; 958.019104;-568.397522;-2177.609375; 1073.374146;-556.305054;-2177.609375; 1073.374146;-556.305054;-2177.609375; 1073.374146;-556.305054;-2191.052246; 1159.261963;-557.965332;-2191.052246; 1159.261963;-557.965332;-2191.052246; 1159.261963;-557.965332;-2201.817871; 1262.340454;-559.618225;-2201.817871; 1262.340454;-559.618225;-2201.817871; 1262.340454;-559.618225;-2072.500000; 1163.003174;-646.114441;-2149.769531; 1161.167114;-414.265106;-2153.372070; 1264.563477;-414.646790;-2196.144531; 1415.796631;-556.512146;-2196.144531; 1415.796631;-556.512146;-2196.144531; 1415.796631;-556.512146;-2139.759033; 1075.460571;-671.272644;-2216.787354; 1071.134155;-439.376099;-2076.102295; 1266.399658;-646.496155;-2162.476562; 961.776794;-683.544067;-2238.452393; 954.373230;-451.378265;-2151.101074; 1491.313965;-541.101074;-2151.101074; 1491.313965;-541.101074;-2151.101074; 1491.313965;-541.101074;-2135.440674; 1580.885986;-529.839844;-2135.440674; 1580.885986;-529.839844;-2135.440674; 1580.885986;-529.839844;-2149.049316; 1763.352783;-518.813049;-2115.033203; 1451.565552;-575.567322;-2115.033203; 1451.565552;-575.567322;-2095.872803; 1423.339233;-674.589844;-2095.872803; 1423.339233;-674.589844;-2095.872803; 1423.339233;-674.589844;-2109.415283; 1268.106689;-751.672241;-2120.185059; 1144.660156;-812.971008;-2120.185059; 1144.660156;-812.971008;-2120.185059; 1144.660156;-812.971008;-2113.081787; 1014.839600;-840.152832;-2105.876953; 883.164429;-867.722900;-2105.876953; 883.164429;-867.722900;-2085.285400; 858.270020;-859.135803;-2085.285400; 858.270020;-859.135803;-2085.285400; 858.270020;-859.135803;-2084.748779; 813.774963;-852.476685;-2098.207520; 781.781494;-858.413879;-2116.698730; 751.967651;-861.443665;-2085.879150; 792.327209;-906.632324;-2085.879150; 792.327209;-906.632324;-2091.759766; 747.609314;-902.698792;-2100.919922; 724.363892;-885.765442;-2107.550781; 731.132507;-868.014221;-2104.506592; 793.143005;-914.777954;-2104.506592; 793.143005;-914.777954;-2110.291992; 746.299561;-911.913086;-2123.296387; 728.736572;-884.301514;-2128.830078; 739.416626;-868.170776;-2123.171631; 803.745544;-917.756714;-2123.171631; 803.745544;-917.756714;-2143.578613; 763.331848;-917.950806;-2159.647949; 739.148621;-898.027954;-2161.420166; 743.122192;-878.382141;-2141.826172; 811.678955;-922.144592;-2141.826172; 811.678955;-922.144592;-2157.453125; 775.368774;-914.599792;-2165.822998; 760.854797;-903.456360;-2172.717041; 755.013733;-885.477478;-2105.598877; 810.922485;-905.862915;-2142.850342; 1450.904541;-492.101562;-2142.850342; 1450.904541;-492.101562;-2195.025635; 1418.223267;-407.372681;-2195.025635; 1418.223267;-407.372681;-2195.025635; 1418.223267;-407.372681;-2227.373535; 1250.395142;-375.599243;-2253.097900; 1116.932007;-350.331848;-2253.097900; 1116.932007;-350.331848;-2253.097900; 1116.932007;-350.331848;-2221.218750; 988.083191;-345.392365;-2188.884521; 857.393738;-340.382355;-2188.884521; 857.393738;-340.382355;-2159.931885; 840.961487;-343.417969;-2159.931885; 840.961487;-343.417969;-2159.931885; 840.961487;-343.417969;-2155.588867; 798.222717;-356.796082;-2139.230957; 767.043335;-357.276886;-2114.510254; 743.965332;-367.088348;-2157.671143; 765.193909;-314.111328;-2157.671143; 765.193909;-314.111328;-2136.088623; 726.779968;-324.518555;-2129.139160; 713.451538;-350.692139;-2136.010986; 724.910583;-365.737335;-2177.244141; 759.712219;-315.030182;-2177.244141; 759.712219;-315.030182;-2166.143311; 715.073242;-325.990051;-2161.898438; 705.291016;-359.549805;-2165.112305; 721.758179;-370.657959;-2197.966309; 764.888123;-318.701080;
2;0;1776780258416667;;-2163.036377; 889.459717; 41.268143;-2163.036377; 893.279602; 41.268143;-2163.036377; 893.279602;-560.192932;-2163.036377; 893.279602;-560.192932;-2163.036377; 893.279602;-560.192932;-2163.036377; 893.279602;-560.192932;-2199.447266; 957.909912;-568.603210;-2199.447266; 957.909912;-568.603210;-2199.447266; 957.909912;-568.603210;-2177.590088; 1073.310303;-556.531921;-2177.590088; 1073.310303;-556.531921;-2177.590088; 1073.310303;-556.531921;-2191.206299; 1159.172363;-558.110291;-2191.206299; 1159.172363;-558.110291;-2191.206299; 1159.172363;-558.110291;-2202.178467; 1262.231201;-559.626526;-2202.178467; 1262.231201;-559.626526;-2202.178467; 1262.231201;-559.626526;-2072.761719; 1163.281738;-646.418762;-2149.789307; 1160.917603;-414.493683;-2153.587891; 1264.307495;-414.701355;-2196.792725; 1415.692627;-556.273499;-2196.792725; 1415.692627;-556.273499;-2196.792725; 1415.692627;-556.273499;-2139.874268; 1075.609863;-671.576294;-2216.632812; 1070.850586;-439.598785;-2076.560059; 1266.671631;-646.626465;-2162.463867; 961.828491;-683.872925;-2238.009033; 954.118591;-451.576630;-2151.882568; 1491.272095;-540.778687;-2151.882568; 1491.272095;-540.778687;-2151.882568; 1491.272095;-540.778687;-2136.324463; 1580.886353;-529.713562;-2136.324463; 1580.886353;-529.713562;-2136.324463; 1580.886353;-529.713562;-2150.166992; 1763.363037;-519.149780;-2115.768799; 1451.646606;-575.352844;-2115.768799; 1451.646606;-575.352844;-2096.160156; 1423.281982;-674.248047;-2096.160156; 1423.281982;-674.248047;-2096.160156; 1423.281982;-674.248047;-2109.638916; 1268.066528;-751.376160;-2120.357666; 1144.633545;-812.711243;-2120.357666; 1144.633545;-812.711243;-2120.357666; 1144.633545;-812.711243;-2113.329346; 1014.780090;-839.755127;-2106.200684; 883.071594;-867.185303;-2106.200684; 883.071594;-867.185303;-2085.520752; 858.300293;-858.455261;-2085.520752; 858.300293;-858.455261;-2085.520752; 858.300293;-858.455261;-2083.400391; 813.827393;-851.966309;-2096.243164; 781.569092;-857.834351;-2114.283203; 751.469116;-860.752991;-2085.437744; 792.330505;-905.917969;-2085.437744; 792.330505;-905.917969;-2090.988770; 747.550171;-902.223083;-2100.060303; 724.111877;-885.509216;-2106.943604; 730.369690;-867.666931;-2104.018066; 793.035095;-914.180786;-2104.018066; 793.035095;-914.180786;-2109.536865; 746.158264;-911.335327;-2122.551514; 728.123962;-884.034241;-2128.442627; 738.167969;-867.623901;-2122.724609; 803.528687;-917.282593;-2122.724609; 803.528687;-917.282593;-2143.039307; 763.069580;-916.940491;-2159.144531; 738.642395;-897.347168;-2161.573975; 741.606934;-877.593750;-2141.396484; 811.352539;-921.791870;-2141.396484; 811.352539;-921.791870;-2156.899170; 775.217896;-913.218262;-2165.217773; 760.729675;-902.003113;-2172.458008; 753.822937;-884.545593;-2105.268555; 810.812622;-905.282654;-2143.498779; 1450.795532;-491.859802;-2143.498779; 1450.795532;-491.859802;-2195.134766; 1417.835571;-406.908783;-2195.134766; 1417.835571;-406.908783;-2195.134766; 1417.835571;-406.908783;-2227.342529; 1249.975098;-375.163696;-2252.955566; 1116.486328;-349.918823;-2252.955566; 1116.486328;-349.918823;-2252.955566; 1116.486328;-349.918823;-2221.124756; 987.624695;-345.002991;-2188.839111; 856.922180;-340.016907;-2188.839111; 856.922180;-340.016907;-2159.963135; 840.353821;-343.042297;-2159.963135; 840.353821;-343.042297;-2159.963135; 840.353821;-343.042297;-2155.251709; 797.668396;-356.466125;-2138.630615; 766.629089;-356.984344;-2113.907715; 743.472168;-366.602386;-2158.052002; 764.597107;-313.682587;-2158.052002; 764.597107;-313.682587;-2136.704834; 726.166748;-324.506134;-2129.895020; 712.922058;-350.758820;-2136.895996; 724.736694;-365.465515;-2177.650391; 759.205566;-314.596741;-2177.650391; 759.205566;-314.596741;-2166.814209; 714.600708;-325.953369;-2162.603271; 704.702515;-359.483398;-2165.902588; 721.759033;-369.636139;-2198.348389; 764.474854;-318.270325;
3;0;1776780258433333;;-2162.552734; 889.459717; 41.268143;-2162.552734; 893.238770; 41.268143;-2162.552734; 893.238770;-560.658630;-2162.552734; 893.238770;-560.658630;-2162.552734; 893.238770;-560.658630;-2162.552734; 893.238770;-560.658630;-2199.126709; 957.792480;-568.948669;-2199.126709; 957.792480;-568.948669;-2199.126709; 957.792480;-568.948669;-2177.488037; 1073.236206;-556.897217;-2177.488037; 1073.236206;-556.897217;-2177.488037; 1073.236206;-556.897217;-2191.311279; 1159.067383;-558.349609;-2191.311279; 1159.067383;-558.349609;-2191.311279; 1159.067383;-558.349609;-2202.552490; 1262.099976;-559.664612;-2202.552490; 1262.099976;-559.664612;-2202.552490; 1262.099976;-559.664612;-2073.032227; 1163.710449;-646.937744;-2149.590820; 1160.605835;-414.866119;-2153.679199; 1263.984863;-414.831909;-2197.589844; 1415.567871;-555.974426;-2197.589844; 1415.567871;-555.974426;-2197.589844; 1415.567871;-555.974426;-2140.003662; 1075.833374;-672.067810;-2216.259766; 1070.476196;-439.937622;-2077.120605; 1267.089478;-646.903564;-2162.471191; 961.917480;-684.393799;-2237.319092; 953.797546;-451.885803;-2152.852539; 1491.230103;-540.383728;-2152.852539; 1491.230103;-540.383728;-2152.852539; 1491.230103;-540.383728;-2137.365234; 1580.883667;-529.539978;-2137.365234; 1580.883667;-529.539978;-2137.365234; 1580.883667;-529.539978;-2151.349854; 1763.377441;-519.471558;-2116.705078; 1451.791992;-575.133057;-2116.705078; 1451.791992;-575.133057;-2096.791504; 1423.309937;-673.933533;-2096.791504; 1423.309937;-673.933533;-2096.791504; 1423.309937;-673.933533;-2110.068359; 1267.978394;-750.862549;-2120.626709; 1144.453125;-812.039307;-2120.626709; 1144.453125;-812.039307;-2120.626709; 1144.453125;-812.039307;-2113.447998; 1014.573242;-838.916260;-2106.166748; 882.837952;-866.177124;-2106.166748; 882.837952;-866.177124;-2085.264648; 858.242981;-857.478088;-2085.264648; 858.242981;-857.478088;-2085.264648; 858.242981;-857.478088;-2081.218750; 813.868835;-851.232605;-2093.436035; 781.333923;-856.906067;-2110.973633; 750.914368;-859.562317;-2084.640625; 792.305847;-904.982056;-2084.640625; 792.305847;-904.982056;-2089.684570; 747.443176;-901.569580;-2098.532715; 723.908203;-884.871887;-2105.526367; 729.742798;-866.929321;-2103.232666; 792.853088;-913.230591;-2103.232666; 792.853088;-913.230591;-2108.363525; 745.936096;-910.322021;-2121.150879; 727.478821;-883.196777;-2127.270752; 736.935364;-866.523193;-2122.032471; 803.184692;-916.311768;-2122.032471; 803.184692;-916.311768;-2142.129150; 762.627625;-915.314209;-2158.037842; 737.959412;-895.862549;-2160.858154; 740.105408;-876.055237;-2140.775635; 810.847900;-920.802246;-2140.775635; 810.847900;-920.802246;-2155.976318; 774.893372;-911.016541;-2164.114502; 760.463379;-899.595764;-2171.496826; 752.504700;-882.653259;-2104.631836; 810.613525;-904.320374;-2144.266357; 1450.674316;-491.587280;-2144.266357; 1450.674316;-491.587280;-2195.313965; 1417.343628;-406.425537;-2195.313965; 1417.343628;-406.425537;-2195.313965; 1417.343628;-406.425537;-2227.275391; 1249.426025;-374.733704;-2252.692383; 1115.891846;-349.531219;-2252.692383; 1115.891846;-349.531219;-2252.692383; 1115.891846;-349.531219;-2220.916260; 987.015808;-344.639648;-2188.686035; 856.298706;-339.678223;-2188.686035; 856.298706;-339.678223;-2159.895996; 839.584045;-342.718048;-2159.895996; 839.584045;-342.718048;-2159.895996; 839.584045;-342.718048;-2154.711914; 796.967285;-356.185638;-2137.749023; 766.114319;-356.752167;-2113.045654; 742.832031;-366.114075;-2158.312500; 763.868164;-313.233643;-2158.312500; 763.868164;-313.233643;-2137.241699; 725.429382;-324.557281;-2130.571777; 712.172241;-350.839539;-2137.723877; 724.346985;-365.175171;-2177.938477; 758.571228;-314.109924;-2177.938477; 758.571228;-314.109924;-2167.396484; 714.026001;-325.966553;-2163.254883; 703.898987;-359.436859;-2166.626709; 721.472290;-368.640015;-2198.615723; 763.935669;-317.762024;
4;0;1776780258450000;;-2161.953613; 889.459717; 41.268143;-2161.953613; 893.196289; 41.268143;-2161.953613; 893.196289;-561.206543;-2161.953613; 893.196289;-561.206543;-2161.953613; 893.196289;-561.206543;-2161.953613; 893.196289;-561.206543;-2198.698242; 957.674805;-569.325073;-2198.698242; 957.674805;-569.325073;-2198.698242; 957.674805;-569.325073;-2177.258545; 1073.161133;-557.326782;-2177.258545; 1073.161133;-557.326782;-2177.258545; 1073.161133;-557.326782;-2191.312500; 1158.957275;-558.625732;-2191.312500; 1158.957275;-558.625732;-2191.312500; 1158.957275;-558.625732;-2202.870361; 1261.957520;-559.702026;-2202.870361; 1261.957520;-559.702026;-2202.870361; 1261.957520;-559.702026;-2073.315918; 1164.246582;-647.683960;-2149.030273; 1160.291992;-415.348389;-2153.485107; 1263.655396;-415.040771;-2198.438721; 1415.432495;-555.645508;-2198.438721; 1415.432495;-555.645508;-2198.438721; 1415.432495;-555.645508;-2140.174316; 1076.095703;-672.691772;-2215.554199; 1070.065796;-440.292084;-2077.770752; 1267.609985;-647.376282;-2162.522217; 962.016602;-685.007935;-2236.305420; 953.455505;-452.175598;-2153.886963; 1491.193359;-540.003052;-2153.886963; 1491.193359;-540.003052;-2153.886963; 1491.193359;-540.003052;-2138.411133; 1580.877808;-529.401611;-2138.411133; 1580.877808;-529.401611;-2138.411133; 1580.877808;-529.401611;-2152.386230; 1763.398193;-519.811951;-2117.751953; 1451.991455;-575.002625;-2117.751953; 1451.991455;-575.002625;-2097.821533; 1423.395020;-673.766663;-2097.821533; 1423.395020;-673.766663;-2097.821533; 1423.395020;-673.766663;-2110.755127; 1267.785522;-750.190796;-2121.040527; 1144.039185;-810.966003;-2121.040527; 1144.039185;-810.966003;-2121.040527; 1144.039185;-810.966003;-2113.410645; 1014.139221;-837.620544;-2105.671631; 882.383545;-864.655884;-2105.671631; 882.383545;-864.655884;-2084.388916; 858.022522;-856.225281;-2084.388916; 858.022522;-856.225281;-2084.388916; 858.022522;-856.225281;-2078.281494; 813.839355;-850.310547;-2089.953369; 781.048401;-855.648254;-2106.986084; 750.309204;-857.875000;-2083.487549; 792.182678;-903.859558;-2083.487549; 792.182678;-903.859558;-2087.857910; 747.229370;-900.722046;-2096.324463; 723.749878;-883.750671;-2103.225342; 729.316284;-865.687378;-2102.170898; 792.524292;-911.910217;-2102.170898; 792.524292;-911.910217;-2106.786377; 745.564941;-908.826904;-2119.051514; 726.825928;-881.653625;-2125.187988; 735.873962;-864.760925;-2121.123047; 802.637756;-914.772827;-2121.123047; 802.637756;-914.772827;-2140.838867; 761.917419;-913.074890;-2156.256348; 737.051819;-893.479553;-2159.027100; 738.819641;-873.627991;-2140.002197; 810.086243;-919.050415;-2140.002197; 810.086243;-919.050415;-2154.644287; 774.245728;-908.067871;-2162.439697; 759.915894;-896.287476;-2169.680664; 751.126404;-879.698303;-2103.685791; 810.250854;-902.951660;-2145.009277; 1450.567749;-491.361816;-2145.009277; 1450.567749;-491.361816;-2195.424072; 1416.824585;-405.985809;-2195.424072; 1416.824585;-405.985809;-2195.424072; 1416.824585;-405.985809;-2227.093750; 1248.838867;-374.361969;-2252.278564; 1115.250488;-349.213531;-2252.278564; 1115.250488;-349.213531;-2252.278564; 1115.250488;-349.213531;-2220.588379; 986.352173;-344.350220;-2188.445557; 855.612488;-339.417450;-2188.445557; 855.612488;-339.417450;-2159.749756; 838.745728;-342.507812;-2159.749756; 838.745728;-342.507812;-2159.749756; 838.745728;-342.507812;-2154.043213; 796.202759;-355.997437;-2136.699951; 765.562805;-356.609222;-2112.064697; 742.077698;-365.638336;-2158.447754; 763.100891;-312.828033;-2158.447754; 763.100891;-312.828033;-2137.681885; 724.639709;-324.629181;-2131.152832; 711.258911;-350.884125;-2138.475586; 723.787537;-364.823273;-2178.102539; 757.900085;-313.625610;-2178.102539; 757.900085;-313.625610;-2167.879395; 713.427490;-326.021698;-2163.853516; 702.947632;-359.397339;-2167.274902; 720.921814;-367.770630;-2198.764648; 763.358521;-317.223755;
